id,Lat,Long,InjTopDepth,InjBotDepth,TotalCumVolume,AvgPressurePSI,WellStatus,WellType,QuakeDepth,Maxmagnitude,CountQuake,Avgmagnitude
1538,35.4,-96.2,NA,NA,484190,61.36309524,AC,2DNC,0.028,1.2,1,1.2
1539,36.35,-96.9,NA,NA,173100,94.28571429,AC,2DNC,5,1.8,3,1.6
1540,35.33,-97.4,NA,NA,3886580,528.2857143,AC,2DNC,5,1.4,1,1.4
1546,35.41,-96.1,1965,2008,398196,NA,AC,2RIn,0.101,1.1,1,1.1
1548,35.96,-97.3,4916,4929,440431,509.522619,AC,2RIn,5.292666667,2.6,6,2.133333333
1549,36.18,-96.8,4186,5595,7651153.1,154.4047619,AC,2DNC,5.261166667,2.9,12,2.125
1554,34.09,-96.6,4833.428571,4967.428571,2098299,198.9261716,AC,2RIn,5,3,1,3
1558,35.8,-97.1,NA,NA,1075699,142.8571429,AC,2DNC,5.147363636,2.6,11,2.136363636
1565,36.02,-97.1,NA,NA,1045189,488.5714286,AC,2DNC,4.540325,3.7,40,2.335
1566,36.06,-97.1,NA,NA,24940,NA,AC,2DNC,4.7824,2.8,5,2.18
1571,36.78,-98.1,5232,5259,1444778,140.8214286,AC,2RIn,5.199571429,3,7,2.328571429
1572,36.65,-98.2,6700,7100,12517446,197.5418182,AC,2DNC,4.826833333,3.1,6,2.333333333
1576,36.18,-96.7,2834.666667,3548.666667,20172971,252.3571429,AC,2DNC,4.3596,2.8,10,1.93
1582,35.69,-97.4,5821,2951.5,NA,NA,AC,2RIn,5.2555,2.7,6,1.883333333
1585,36.09,-96.9,4500,6100,11294678,225.0821136,AC,2DNC,4.186666667,2.7,3,2.3
1588,34.5,-97.2,6770,7056,693370,490.25,AC,2RSI,0.019,2.3,1,2.3
1591,35.16,-96.3,3904,4646.5,1197850,NA,AC,2DNC,7.815,1.9,1,1.9
1593,35.98,-97.4,NA,NA,12643.73,50,PA,2RIn,4.0735,2.2,2,1.9
1595,35.23,-98,3970,7280,3019270,1200,AC,2DCm,5,1.7,1,1.7
1596,34.89,-96.3,445,511,21060,180.1428571,AC,2DNC,5,1.1,1,1.1
1597,36.9,-98.1,5735,7450,9969707,9.652777778,AC,2DNC,4.9326,2.9,5,2.42
1599,34.42,-97.6,5341.321429,4949.071429,36833790,612.4826134,AC,2RIn,4.6474,2.2,5,2.08
1600,34.4,-97.6,3545.6,4083.4,18479425,746.265377,AC,2RIn,11.475,2.2,2,2.15
1601,36.61,-97.9,6509,6660,1391712,155.3333333,AC,2DNC,7.410857143,2.6,7,2.157142857
1606,35.82,-97.1,NA,NA,89111,242.8571429,AC,2DNC,3.9255,3,2,2.3
1607,36.77,-98.4,6080,7800,18322271,129.9328283,AC,2DNC,3.2015,2.1,2,2.1
1608,36.6,-97.9,6250,6264,NA,NA,AC,2RIn,5.072,2.6,4,2.225
1609,36.99,-97.4,3424,3451,3246879,134.2619048,AC,2RIn,11.964,2.2,1,2.2
1610,36.88,-98.3,5610,8900,37010139,167.0555556,AC,2DNC,4.643888889,2.8,9,2.244444444
1611,36.78,-98.4,5727.333333,6481.333333,63908819,98.034136,AC,2DNC,5.1494,2.3,5,2.08
1612,36.33,-97,4814,6042,12708884,177.5,AC,2DNC,4.809166667,2.6,6,1.9
1613,36.02,-97.2,2756.25,2765.5,1250085,232.8389881,AC,2RIn,5.512666667,2.7,3,2.1
1614,36.97,-98.2,5570,7066.666667,31655987,23.55820106,AC,2DNC,4.758,2,2,1.8
1615,36.99,-98.1,NA,NA,236614.95,387.3646259,AC,2DNC,5,1.7,1,1.7
1616,35.4,-96.4,3461,3484,14727974,51.8452381,AC,2DNC,5,2.8,4,2.05
1618,34.15,-97.3,NA,NA,65969,500,AC,2RIn,0.855,2.1,1,2.1
1623,36.93,-98.3,5641,6996,19410526,16.50119048,AC,2DNC,5,2.3,1,2.3
1625,35.93,-97.6,6785,8000,2394189,264.3873253,AC,2DNC,4.865666667,2.3,3,2
1629,36.72,-98,NA,NA,526105,203.2683983,AC,2DNC,4.8514,2.6,5,2.12
1632,36.65,-98.3,7058,8306,37278284,1.672727273,AC,2DNC,5.597666667,2.6,3,2.433333333
1635,35.66,-97,NA,NA,9580197,NA,AC,2DNC,5.109,2.3,3,2
1637,36.74,-98.6,5644.5,8543.5,36185957,8.667929293,AC,2DNC,7.7685,2.9,2,2.65
1638,36.15,-96.8,3206,3254,576755,214.2857143,AC,2DNC,6.419545455,3.2,11,2.372727273
1645,36.8,-97.6,5331,5949.5,2698078,332.6031746,AC,2DNC,5.0044,2.9,5,2.2
1648,35.8,-96.9,2300,2365,6775,NA,AC,2DNC,5,1.5,1,1.5
1649,36.8,-98,5165,5774,2966290,NA,AC,2DNC,3.70225,2.9,4,2.2
1650,36.78,-98.3,6316,7700,17981506,199.5994318,AC,2DNC,5,2.5,2,2.1
1652,36.01,-97.2,NA,NA,4144733,275.9193024,AC,2DNC,3.2695,2.1,2,1.85
1656,36.13,-97,5057,6545,14263218,266.65,AC,2DNC,4.553333333,1.8,3,1.633333333
1658,36.16,-97.3,4354,4396.5,109493,60.53841991,AC,2RIn,5.9194,2,5,1.88
1660,35.57,-98.1,8231,8248.5,756618,338.2514997,AC,2RIn,4.914857143,3.4,7,2.385714286
1661,35.13,-96.4,2788,2802,315396,185.5753968,AC,2DNC,5,1.9,1,1.9
1662,36.98,-97.8,3660,3750,1575063,NA,AC,2DNC,11.318,1.5,1,1.5
1663,36.7,-97.4,NA,NA,13138705,96.19206349,AC,2DNC,5,1.9,2,1.9
1668,36.07,-96.8,2899.5,2992,16098596,86.27170635,AC,2RIn,4.963666667,3.3,6,2.35
1669,36.08,-96.8,3306,3319,1022875,86.43452381,AC,2DNC,5.139166667,2.7,6,2.283333333
1673,35.66,-98.1,NA,NA,1014244,619.9591837,AC,2RIn,5,1.5,1,1.5
1680,35.96,-97.2,NA,NA,2905638,65.71428571,AC,2DNC,5.773833333,2.8,6,2.3
1681,36.07,-97.1,5040,5360,2696947,160.0420536,AC,2DNC,4.216,2.6,5,2.38
1683,36.16,-97.2,5930,7310,1422700,180,AC,2DNC,5,2.7,1,2.7
1686,36.99,-97.9,5690,6800,6718871,19.75731808,AC,2DNC,6.6296,2.5,5,2.16
1694,36.23,-96.8,4247,5446,4614239,418.775,AC,2DNC,5,1.6,1,1.6
1696,35.92,-96.9,4206,4536,2267148,78.22916667,AC,2DNC,10.2805,2.6,2,2.2
1699,36.55,-97.9,3350,5050,14260523.4,492.7219048,AC,2DCm,3.41125,2.4,4,2.25
1706,36.72,-97.7,NA,NA,1637810,385.7142857,AC,2DNC,5.944,2.7,3,2.466666667
1713,36.03,-97.3,1800,1810.333333,3140378,819.0124008,AC,2RIn,4.9355,2.7,16,2.16875
1714,35.84,-97.5,6671,7960,546460,112.5,AC,2DNC,5.8722,1.9,5,1.36
1719,36.26,-97.1,3996,4014,342724,114.2857143,AC,2RIn,7.1612,2.8,5,2.36
1720,36.93,-98.2,5557.5,8550,15550400,10.33611111,AC,2DNC,5,1.9,1,1.9
1721,36.04,-97.5,6538,8235,5669949,250.4222222,AC,2DNC,4.957571429,3,7,2.442857143
1726,36.08,-97.1,3295,3338,459540,92.85714286,AC,2DNC,6.208,2.5,6,1.783333333
1728,36.06,-96.9,4699,6103,546227,36.74416667,TM,2D,3.9065,2.5,2,2
1730,36.28,-97.1,4950,6400,11161036,205.1666667,AC,2DNC,6.876714286,3.1,7,2.271428571
1732,35.82,-97,NA,NA,1876052,108.0555556,AC,2DNC,5,2.4,1,2.4
1733,36.48,-97.8,NA,NA,534344,246.6145833,AC,2DCm,4.635142857,2.7,7,2.5
1734,36.31,-98.3,6920.666667,6994.333333,560286,1797.214286,AC,2RIn,11.112,2.2,1,2.2
1739,36.07,-97.5,5900,8700,6609458,176.6118056,AC,2DNC,4.541571429,2.5,7,2.242857143
1742,36.12,-97.7,6655,7538,12278576,412.6303664,AC,2DNC,4.7182,2.3,5,1.98
1743,36.15,-97.6,3113,3650,12233992,422.5760771,AC,2DNC,2.914333333,2.9,6,2.25
1746,35.91,-97.2,NA,NA,5499870,56.25,AC,2DNC,5.8005,3.3,2,2.6
1747,36.32,-96.7,3653,5131,887987,55.5625,AC,2DNC,9.1865,2.3,2,1.85
1749,34.55,-97.7,2763.666667,3030.666667,993635,14.31597222,AC,2RIn,5,2.9,2,2.5
1751,35.93,-97.2,4333.5,4401.5,1545419,59.9512987,AC,2DNC,3.608333333,2.5,3,1.933333333
1752,36.38,-97,4545,5902,7734089,183.7467532,AC,2DNC,5.1122,2.7,5,2.16
1754,36.39,-97.1,1653,1680,127995,114.2857143,AC,2DNC,5.123285714,3.2,7,2.414285714
1757,35.96,-97.1,5222,7200,4839723,15.73214286,AC,2DNC,5.15,1.8,1,1.8
1759,36.31,-97.3,NA,NA,4184,39.07142857,AC,2RIn,5,1.8,1,1.8
1760,36.81,-98,6173,7379,5589218,12.28333333,AC,2DNC,5.7395,2.8,4,2.2
1761,35.87,-97.6,5999,7021.666667,20054753,371.2481481,AC,2DCm,5,1.2,1,1.2
1762,36.22,-96.9,4895,5704,5102713,231.1121212,AC,2DNC,2.9975,2.1,2,2.1
1763,35.99,-97.4,5226,5240,97256,NA,AC,2DNC,5.244,2.5,3,2.3
1764,36.26,-97.2,5466,6766,6139632,152.1575758,AC,2DNC,6.482714286,2.6,7,2.214285714
1766,36.3,-97.3,2358,2560,494363,128.125,AC,2DCm,5,1.3,1,1.3
1768,34.39,-97.7,1044.733333,1086.866667,6837449,231.1463469,AC,2RIn,5,2.2,1,2.2
1769,34.41,-97.7,515.1842105,635.8947368,48831477,214.4928523,AC,2DNC,5,2.5,2,2.25
1770,34.42,-97.7,928.7954545,1244.318182,76463342.04,264.4918349,AC,2RIn,5,2.5,2,2.3
1771,34.41,-97.6,4641,5035.3,37372136,993.6938049,AC,2RIn,2.50025,2.3,4,1.925
1772,34.44,-97.6,2422.375,3189.5,18581200.77,400.063925,AC,2RIn,2.5525,2.5,2,2.3
1773,34.43,-97.7,516.8108108,1008.162162,42130003,189.4304821,AC,2RIn,5,2.2,1,2.2
1777,36.99,-97.8,4757,5223,2952765,11.51785714,AC,2DNC,5,2,1,2
1784,35.84,-97.1,4635,4670,960675,226.7748918,AC,2RIn,5,1.8,1,1.8
1786,36.12,-97.5,6521,8071,2648635,105.0880682,AC,2DNC,4.964928571,2.6,14,2.264285714
1792,36.88,-97.9,5988,6980,2374021,2.3,AC,2DNC,5.1165,2.7,2,2.55
